restaurant_id,name,category,price_tier,neighborhood,opening_time,closing_time,average_rating,good_for_kids
1,Deli Delight,Korean,expensive,Bronx,11:30,16:00,3,false
2,Sweet Treats Bakery,Italian,cheap,Queens,9:00,16:00,4,false
3,Ocean Breeze Seafood,Korean,cheap,Astoria,12:00,21:00,4,true
4,The Breakfast Nook,Mediterranean,expensive,Manhattan,12:00,16:00,4,false
5,Smokehouse BBQ,Japanese,cheap,Harlem,10:30,16:00,3,true
6,Sizzle Grill,Chinese,medium,Harlem,10:00,17:00,4,true
7,The Coffee House,Korean,medium,Harlem,11:30,16:00,1,false
8,Pizza Palace,Italian,cheap,Williamsburg,10:00,17:00,5,true
9,The Cheesecake Factory,Korean,expensive,Harlem,10:00,16:00,5,false
10,The Cheesecake Factory,Chinese,medium,Manhattan,9:30,19:00,2,false
11,Taco Town,Mediterranean,expensive,Bronx,10:00,20:00,1,false
12,Sweet Treats Bakery,Korean,cheap,Williamsburg,10:30,20:00,5,false
13,Burger Haven,Indian,medium,Astoria,9:30,18:00,5,true
14,Sweet Treats Bakery,Korean,cheap,Brooklyn,12:00,17:00,5,false
15,Taco Town,Mediterranean,expensive,Manhattan,12:00,17:00,1,false
16,Wok n Roll,Korean,medium,Manhattan,9:00,20:00,3,false
17,The Coffee House,Chinese,expensive,Williamsburg,11:00,17:00,4,true
18,Taste of India,Mexican,cheap,Park Slope,9:30,18:00,1,false
19,Sizzle Grill,Japanese,medium,Astoria,11:00,16:00,5,true
20,The Spice Route,Indian,cheap,Park Slope,11:30,19:00,5,false
21,Sushi Samurai,Indian,medium,Astoria,10:00,16:00,4,true
22,The Cheesecake Factory,Korean,cheap,Park Slope,9:30,20:00,1,true
23,Sweet Treats Bakery,Mediterranean,medium,Staten Island,10:00,21:00,2,true
24,Taco Town,Mexican,expensive,Brooklyn,9:30,19:00,1,true
25,Green Leaf Salad Bar,Indian,cheap,Queens,12:00,17:00,2,true
26,The Cheesecake Factory,Chinese,medium,Park Slope,9:30,17:00,1,false
27,Wok n Roll,Korean,expensive,Bronx,9:30,19:00,2,true
28,Sizzle Grill,Mexican,cheap,Brooklyn,9:30,18:00,1,false
29,Pasta Paradise,Indian,medium,Park Slope,10:30,16:00,2,true
30,The Coffee House,Italian,medium,Astoria,11:00,21:00,1,false
31,Taco Town,Mediterranean,cheap,Harlem,9:00,21:00,2,true
32,The Cheesecake Factory,Mediterranean,medium,Astoria,9:30,20:00,4,true
33,Ocean Breeze Seafood,Chinese,medium,Manhattan,11:00,20:00,5,true
34,The Coffee House,Chinese,cheap,Bronx,12:00,18:00,3,true
35,The Cheesecake Factory,Italian,medium,Manhattan,11:00,20:00,1,true
36,The Cheesecake Factory,Chinese,expensive,Staten Island,10:30,16:00,2,false
37,Mama Mia's Pizzeria,Korean,cheap,Harlem,9:30,17:00,4,true
38,Sizzle Grill,Chinese,medium,Harlem,11:30,17:00,3,false
39,Pizza Palace,Chinese,medium,Brooklyn,10:30,18:00,5,false
40,The Breakfast Nook,Chinese,cheap,Astoria,10:30,21:00,2,true
41,Pasta Paradise,Korean,expensive,Park Slope,9:00,20:00,2,true
42,Mama Mia's Pizzeria,Mediterranean,expensive,Bronx,11:30,16:00,4,false
43,Burger Haven,Indian,expensive,Staten Island,12:00,20:00,1,false
44,Pasta Paradise,Korean,cheap,Harlem,12:00,18:00,1,true
45,Cafe Luna,Korean,expensive,Queens,11:30,17:00,3,false
46,Ocean Breeze Seafood,Korean,cheap,Harlem,9:30,16:00,5,true
47,Mama Mia's Pizzeria,Korean,cheap,Harlem,10:00,19:00,1,true
48,Taste of India,Italian,cheap,Manhattan,11:30,17:00,3,false
49,Cafe Luna,Mediterranean,medium,Staten Island,12:00,19:00,1,false
50,Taste of India,Mediterranean,cheap,Harlem,10:00,19:00,4,false
51,Pasta Paradise,Japanese,cheap,Harlem,10:30,17:00,3,false
52,Pasta Paradise,Mediterranean,expensive,Astoria,10:00,20:00,4,true
53,Mama Mia's Pizzeria,Indian,medium,Brooklyn,9:30,17:00,1,true
54,Sweet Treats Bakery,Mediterranean,cheap,Park Slope,9:30,17:00,1,false
55,Green Leaf Salad Bar,Korean,medium,Brooklyn,12:00,19:00,5,true
56,Cafe Luna,Chinese,cheap,Staten Island,10:00,17:00,1,false
57,Taco Town,Italian,cheap,Staten Island,9:00,20:00,3,false
58,Deli Delight,Japanese,expensive,Greenwich Village,9:30,20:00,1,false
59,Smokehouse BBQ,Korean,medium,Manhattan,9:30,20:00,4,false
60,Smokehouse BBQ,Japanese,expensive,Harlem,11:00,17:00,1,true
61,Burger Haven,Italian,cheap,Staten Island,10:00,21:00,5,true
62,Taste of India,Italian,cheap,Staten Island,10:00,20:00,1,false
63,Mama Mia's Pizzeria,Mexican,medium,Park Slope,9:00,21:00,1,false
64,Sweet Treats Bakery,Mediterranean,expensive,Queens,9:30,16:00,3,false
65,The Cheesecake Factory,Indian,medium,Harlem,10:00,17:00,5,true
66,Sweet Treats Bakery,Mediterranean,expensive,Greenwich Village,11:00,21:00,2,false
67,Taste of India,Italian,cheap,Bronx,11:30,17:00,4,false
68,Deli Delight,Indian,medium,Bronx,9:30,18:00,2,true
69,Cafe Luna,Indian,expensive,Manhattan,11:00,17:00,3,true
70,The Hungry Owl,Japanese,expensive,Park Slope,9:00,20:00,1,false
71,Sweet Treats Bakery,Mexican,medium,Harlem,11:30,20:00,3,false
72,Mama Mia's Pizzeria,Japanese,cheap,Brooklyn,11:00,16:00,2,true
73,The Spice Route,Indian,medium,Manhattan,9:00,20:00,5,true
74,Mama Mia's Pizzeria,Indian,expensive,Queens,10:00,20:00,2,true
75,Cafe Luna,Mexican,cheap,Greenwich Village,10:30,20:00,3,true
76,Taco Town,Japanese,medium,Brooklyn,9:30,21:00,4,true
77,Cafe Luna,Korean,cheap,Park Slope,9:00,20:00,2,true
78,The Coffee House,Indian,expensive,Greenwich Village,11:00,21:00,5,true
79,Burger Haven,Korean,expensive,Park Slope,10:30,18:00,3,false
80,The Cheesecake Factory,Korean,medium,Queens,9:30,17:00,2,false
81,Ocean Breeze Seafood,Mexican,expensive,Harlem,11:00,19:00,2,false
82,Wok n Roll,Korean,medium,Greenwich Village,12:00,16:00,2,false
83,Sizzle Grill,Indian,medium,Park Slope,9:30,18:00,3,false
84,Wok n Roll,Mediterranean,cheap,Harlem,9:30,17:00,5,false
85,Wok n Roll,Chinese,medium,Brooklyn,10:00,21:00,4,true
86,Pasta Paradise,Italian,cheap,Bronx,10:30,17:00,5,false
87,Sweet Treats Bakery,Mexican,cheap,Greenwich Village,12:00,19:00,5,false
88,Green Leaf Salad Bar,Chinese,expensive,Astoria,10:30,18:00,1,true
89,Green Leaf Salad Bar,Korean,medium,Park Slope,11:00,18:00,2,false
90,Cafe Luna,Chinese,expensive,Harlem,10:30,17:00,4,true
91,Pasta Paradise,Chinese,cheap,Williamsburg,12:00,20:00,4,true
92,Sweet Treats Bakery,Mediterranean,expensive,Queens,11:30,18:00,4,false
93,Sweet Treats Bakery,Mexican,expensive,Greenwich Village,9:00,18:00,3,false
94,Pasta Paradise,Japanese,cheap,Astoria,11:30,21:00,1,false
95,Taco Town,Indian,cheap,Williamsburg,9:30,19:00,2,true
96,Green Leaf Salad Bar,Italian,cheap,Bronx,9:30,18:00,3,false
97,Sweet Treats Bakery,Japanese,medium,Astoria,12:00,17:00,3,true
98,Pizza Palace,Mediterranean,cheap,Williamsburg,9:30,17:00,5,true
99,Green Leaf Salad Bar,Indian,medium,Harlem,10:00,16:00,1,true
100,Taste of India,Indian,cheap,Staten Island,12:00,20:00,1,false
101,Wok n Roll,Indian,cheap,Staten Island,12:00,17:00,2,false
102,Deli Delight,Italian,cheap,Park Slope,11:00,20:00,4,true
103,Taco Town,Chinese,expensive,Manhattan,9:30,16:00,2,true
104,Sizzle Grill,Chinese,expensive,Brooklyn,9:30,19:00,1,false
105,Sweet Treats Bakery,Mediterranean,cheap,Greenwich Village,11:00,20:00,1,false
106,Smokehouse BBQ,Chinese,medium,Park Slope,11:30,17:00,5,false
107,Taco Town,Indian,expensive,Brooklyn,10:00,20:00,3,false
108,Ocean Breeze Seafood,Japanese,cheap,Williamsburg,10:30,18:00,3,true
109,Deli Delight,Korean,expensive,Staten Island,12:00,20:00,5,true
110,Sweet Treats Bakery,Chinese,medium,Park Slope,9:00,18:00,5,true
111,The Hungry Owl,Chinese,medium,Staten Island,11:00,20:00,3,false
112,The Hungry Owl,Mexican,medium,Harlem,9:00,19:00,2,false
113,Smokehouse BBQ,Italian,medium,Harlem,11:30,18:00,5,true
114,Burger Haven,Mediterranean,medium,Staten Island,11:30,19:00,5,false
115,Taco Town,Chinese,cheap,Brooklyn,10:00,16:00,2,false
116,Wok n Roll,Mexican,cheap,Greenwich Village,11:30,17:00,4,true
117,Deli Delight,Mexican,medium,Manhattan,11:30,21:00,2,true
118,The Coffee House,Indian,medium,Manhattan,10:00,20:00,5,true
119,Wok n Roll,Japanese,medium,Bronx,9:30,19:00,5,true
120,The Cheesecake Factory,Chinese,cheap,Queens,11:30,19:00,2,false
121,Pizza Palace,Mediterranean,expensive,Queens,9:00,20:00,4,false
122,The Spice Route,Indian,medium,Williamsburg,10:30,18:00,2,true
123,Mama Mia's Pizzeria,Indian,cheap,Park Slope,9:00,16:00,2,false
124,Green Leaf Salad Bar,Italian,expensive,Staten Island,10:00,19:00,3,false
125,Ocean Breeze Seafood,Mexican,expensive,Park Slope,11:30,17:00,4,true
126,Sweet Treats Bakery,Mediterranean,expensive,Brooklyn,11:00,16:00,2,true
127,The Spice Route,Mediterranean,expensive,Park Slope,11:30,16:00,3,false
128,Pizza Palace,Indian,medium,Harlem,12:00,21:00,5,true
129,Green Leaf Salad Bar,Mexican,medium,Astoria,9:00,17:00,2,true
130,Pizza Palace,Indian,cheap,Manhattan,9:00,17:00,4,false
131,Sweet Treats Bakery,Chinese,medium,Manhattan,9:30,17:00,2,false
132,Pizza Palace,Korean,cheap,Manhattan,9:00,17:00,2,false
133,Green Leaf Salad Bar,Japanese,cheap,Bronx,9:30,20:00,1,false
134,Pizza Palace,Mediterranean,medium,Manhattan,10:00,16:00,3,true
135,Mama Mia's Pizzeria,Japanese,medium,Williamsburg,9:30,19:00,4,false
136,Pizza Palace,Mexican,medium,Brooklyn,9:00,19:00,5,true
137,Taste of India,Indian,expensive,Staten Island,9:00,21:00,4,true
138,Sizzle Grill,Mediterranean,medium,Manhattan,10:00,21:00,3,true
139,Mama Mia's Pizzeria,Mediterranean,medium,Greenwich Village,11:00,17:00,2,true
140,Pizza Palace,Indian,medium,Bronx,11:30,17:00,1,false
141,Sweet Treats Bakery,Mediterranean,cheap,Bronx,12:00,19:00,2,false
142,Wok n Roll,Mexican,expensive,Williamsburg,11:00,21:00,4,false
143,Sweet Treats Bakery,Mediterranean,medium,Greenwich Village,10:30,16:00,2,false
144,The Cheesecake Factory,Chinese,expensive,Staten Island,9:30,16:00,5,false
145,Pasta Paradise,Korean,cheap,Manhattan,12:00,21:00,3,true
146,The Coffee House,Italian,expensive,Bronx,10:00,20:00,1,true
147,Green Leaf Salad Bar,Mexican,medium,Manhattan,9:30,19:00,4,true
148,Taste of India,Japanese,expensive,Bronx,11:00,21:00,1,true
149,Cafe Luna,Indian,medium,Bronx,10:30,16:00,2,true
150,The Coffee House,Korean,medium,Bronx,10:30,19:00,5,false
151,Pasta Paradise,Italian,cheap,Staten Island,11:30,18:00,2,false
152,Mama Mia's Pizzeria,Japanese,cheap,Park Slope,11:00,19:00,3,true
153,Taste of India,Mexican,cheap,Bronx,11:00,20:00,3,true
154,The Breakfast Nook,Italian,cheap,Queens,9:00,19:00,4,true
155,Taco Town,Korean,expensive,Manhattan,11:30,19:00,1,true
156,The Breakfast Nook,Chinese,medium,Park Slope,11:30,19:00,5,true
157,Smokehouse BBQ,Italian,cheap,Park Slope,10:30,21:00,5,true
158,Pizza Palace,Korean,expensive,Staten Island,12:00,19:00,1,true
159,Sweet Treats Bakery,Japanese,expensive,Astoria,9:00,18:00,3,false
160,Wok n Roll,Korean,medium,Park Slope,9:30,21:00,1,true
161,Sushi Samurai,Mediterranean,cheap,Astoria,12:00,19:00,3,false
162,Burger Haven,Italian,medium,Staten Island,11:30,20:00,3,false
163,Taco Town,Korean,medium,Williamsburg,11:30,21:00,5,true
164,Green Leaf Salad Bar,Japanese,cheap,Brooklyn,11:30,17:00,1,false
165,Deli Delight,Chinese,expensive,Williamsburg,9:30,17:00,4,false
166,Taste of India,Indian,cheap,Williamsburg,10:30,17:00,2,true
167,Pizza Palace,Indian,cheap,Park Slope,12:00,18:00,1,true
168,Sizzle Grill,Indian,cheap,Williamsburg,10:00,21:00,3,true
169,Ocean Breeze Seafood,Indian,medium,Queens,11:00,17:00,5,false
170,Sizzle Grill,Korean,medium,Brooklyn,10:00,17:00,4,false
171,Ocean Breeze Seafood,Chinese,expensive,Queens,9:30,18:00,2,true
172,Smokehouse BBQ,Mediterranean,medium,Manhattan,9:00,17:00,4,true
173,Pizza Palace,Mediterranean,expensive,Harlem,10:30,21:00,5,true
174,Mama Mia's Pizzeria,Korean,medium,Williamsburg,12:00,20:00,3,true
175,Wok n Roll,Japanese,medium,Brooklyn,11:00,19:00,3,true
176,Cafe Luna,Indian,cheap,Bronx,9:30,21:00,4,false
177,Taste of India,Mediterranean,expensive,Astoria,12:00,18:00,1,false
178,The Coffee House,Chinese,expensive,Staten Island,12:00,16:00,3,true
179,Mama Mia's Pizzeria,Indian,cheap,Harlem,9:30,20:00,2,true
180,The Hungry Owl,Mediterranean,medium,Williamsburg,9:30,18:00,2,false
181,The Coffee House,Chinese,expensive,Park Slope,11:00,19:00,1,false
182,Wok n Roll,Italian,cheap,Williamsburg,10:00,17:00,2,false
183,The Cheesecake Factory,Mediterranean,cheap,Staten Island,11:00,21:00,3,false
184,The Hungry Owl,Korean,expensive,Staten Island,11:30,20:00,1,true
185,Taste of India,Mexican,medium,Park Slope,10:30,18:00,4,true
186,Ocean Breeze Seafood,Japanese,expensive,Greenwich Village,9:30,16:00,1,false
187,Sizzle Grill,Korean,cheap,Bronx,10:30,16:00,4,true
188,Pizza Palace,Mexican,expensive,Brooklyn,9:30,19:00,3,true
189,Sizzle Grill,Chinese,expensive,Queens,10:00,19:00,1,false
190,Taco Town,Indian,expensive,Queens,10:00,19:00,4,false
191,Sizzle Grill,Korean,cheap,Williamsburg,11:00,16:00,3,true
192,The Cheesecake Factory,Italian,cheap,Harlem,10:00,21:00,1,true
193,Taste of India,Mediterranean,expensive,Brooklyn,12:00,20:00,4,false
194,The Cheesecake Factory,Mediterranean,cheap,Greenwich Village,10:30,17:00,3,false
195,Taco Town,Japanese,medium,Williamsburg,11:30,18:00,4,false
196,Taco Town,Italian,expensive,Astoria,12:00,16:00,5,false
197,Sweet Treats Bakery,Korean,cheap,Brooklyn,9:00,17:00,2,true
198,The Breakfast Nook,Japanese,cheap,Brooklyn,11:30,20:00,5,false
199,Deli Delight,Indian,expensive,Bronx,9:30,17:00,1,true
200,The Cheesecake Factory,Korean,cheap,Queens,11:30,17:00,4,true
201,The Cheesecake Factory,Chinese,cheap,Bronx,10:00,21:00,4,true
202,Wok n Roll,Korean,medium,Manhattan,10:00,17:00,2,true
203,Mama Mia's Pizzeria,Indian,cheap,Brooklyn,9:30,18:00,3,false
204,Pizza Palace,Korean,medium,Queens,9:00,17:00,3,true
205,Sizzle Grill,Japanese,cheap,Manhattan,9:30,19:00,5,true
206,Mama Mia's Pizzeria,Mexican,expensive,Astoria,10:30,18:00,2,true
207,Cafe Luna,Mediterranean,medium,Astoria,11:00,17:00,4,false
208,Taste of India,Italian,expensive,Williamsburg,12:00,17:00,5,true
209,Smokehouse BBQ,Indian,medium,Park Slope,11:00,21:00,3,true
210,Sweet Treats Bakery,Italian,expensive,Harlem,10:00,21:00,2,false
211,The Hungry Owl,Japanese,expensive,Williamsburg,11:00,17:00,4,true
212,Cafe Luna,Chinese,cheap,Manhattan,11:00,17:00,4,false
213,The Spice Route,Japanese,medium,Park Slope,9:00,18:00,4,false
214,Wok n Roll,Japanese,expensive,Staten Island,9:00,17:00,3,true
215,Taco Town,Italian,cheap,Manhattan,11:00,21:00,2,true
216,The Spice Route,Mexican,medium,Manhattan,9:00,19:00,1,false
217,Pasta Paradise,Korean,cheap,Brooklyn,10:30,17:00,2,true
218,Taco Town,Indian,cheap,Williamsburg,10:30,16:00,1,true
219,Sweet Treats Bakery,Mexican,cheap,Greenwich Village,10:30,19:00,5,true
220,The Spice Route,Mexican,medium,Harlem,10:30,18:00,4,true
221,Mama Mia's Pizzeria,Mediterranean,expensive,Greenwich Village,10:00,19:00,4,false
222,Taste of India,Indian,cheap,Astoria,10:30,21:00,2,false
223,Green Leaf Salad Bar,Mediterranean,cheap,Williamsburg,9:00,17:00,4,true
224,Deli Delight,Italian,medium,Astoria,10:00,21:00,4,false
225,The Coffee House,Japanese,medium,Queens,11:30,16:00,2,false
226,Mama Mia's Pizzeria,Japanese,medium,Manhattan,9:30,19:00,4,false
227,Deli Delight,Mediterranean,cheap,Astoria,10:00,16:00,4,false
228,Wok n Roll,Mexican,medium,Queens,11:00,19:00,5,false
229,The Hungry Owl,Chinese,cheap,Bronx,9:30,20:00,2,false
230,Pasta Paradise,Japanese,medium,Harlem,10:00,18:00,4,true
231,Sizzle Grill,Japanese,medium,Staten Island,9:00,21:00,2,true
232,Wok n Roll,Mediterranean,cheap,Astoria,11:30,21:00,3,false
233,Cafe Luna,Mexican,medium,Bronx,11:30,17:00,2,true
234,Cafe Luna,Mexican,cheap,Astoria,9:00,16:00,3,false
235,Cafe Luna,Japanese,medium,Staten Island,9:00,19:00,3,false
236,Burger Haven,Italian,cheap,Staten Island,9:00,16:00,4,false
237,The Breakfast Nook,Indian,medium,Brooklyn,11:00,17:00,1,true
238,Taco Town,Indian,cheap,Harlem,10:30,21:00,4,true
239,Deli Delight,Indian,expensive,Greenwich Village,9:00,17:00,5,true
240,Deli Delight,Chinese,expensive,Queens,12:00,16:00,3,true
241,Green Leaf Salad Bar,Mexican,expensive,Queens,9:30,21:00,1,false
242,Mama Mia's Pizzeria,Mediterranean,expensive,Staten Island,9:30,20:00,5,true
243,The Spice Route,Mediterranean,expensive,Brooklyn,9:30,18:00,3,true
244,Cafe Luna,Indian,expensive,Staten Island,9:00,20:00,4,false
245,Taste of India,Korean,expensive,Staten Island,9:30,20:00,3,false
246,Taco Town,Indian,expensive,Park Slope,10:00,20:00,2,false
247,The Hungry Owl,Indian,expensive,Manhattan,9:00,18:00,2,true
248,Mama Mia's Pizzeria,Chinese,expensive,Williamsburg,12:00,21:00,3,true
249,The Hungry Owl,Japanese,cheap,Brooklyn,10:00,18:00,5,false
250,Pizza Palace,Korean,cheap,Park Slope,12:00,21:00,1,false
251,Sizzle Grill,Mexican,medium,Harlem,9:00,21:00,2,true
252,Cafe Luna,Indian,expensive,Astoria,10:00,20:00,3,false
253,Green Leaf Salad Bar,Mediterranean,cheap,Greenwich Village,10:30,16:00,5,false
254,Pasta Paradise,Chinese,medium,Greenwich Village,12:00,19:00,2,true
255,The Cheesecake Factory,Mediterranean,cheap,Harlem,9:30,17:00,3,false
256,Mama Mia's Pizzeria,Japanese,expensive,Staten Island,10:30,19:00,5,false
257,Deli Delight,Japanese,expensive,Brooklyn,9:00,20:00,5,false
258,Pasta Paradise,Italian,expensive,Astoria,10:00,19:00,3,false
259,Sushi Samurai,Italian,cheap,Greenwich Village,10:00,17:00,2,false
260,Pasta Paradise,Japanese,medium,Harlem,11:00,16:00,3,false
261,The Cheesecake Factory,Korean,medium,Staten Island,9:30,21:00,3,true
262,Deli Delight,Japanese,expensive,Harlem,10:00,16:00,1,false
263,Smokehouse BBQ,Mexican,expensive,Manhattan,10:00,18:00,2,true
264,Sushi Samurai,Indian,expensive,Park Slope,10:00,17:00,4,false
265,Taste of India,Mexican,cheap,Greenwich Village,10:00,18:00,2,false
266,Sizzle Grill,Indian,medium,Staten Island,12:00,19:00,2,false
267,Green Leaf Salad Bar,Korean,medium,Manhattan,10:30,19:00,3,false
268,Sizzle Grill,Mediterranean,expensive,Harlem,12:00,18:00,4,false
269,The Cheesecake Factory,Chinese,cheap,Park Slope,10:00,18:00,4,false
270,The Cheesecake Factory,Chinese,cheap,Greenwich Village,10:00,19:00,3,true
271,Burger Haven,Italian,cheap,Williamsburg,11:30,19:00,1,true
272,Green Leaf Salad Bar,Mediterranean,cheap,Manhattan,9:00,19:00,4,false
273,Ocean Breeze Seafood,Korean,expensive,Harlem,9:00,16:00,2,true
274,Deli Delight,Mediterranean,expensive,Astoria,11:00,19:00,4,true
275,Taste of India,Mexican,cheap,Manhattan,11:00,16:00,3,true
276,Mama Mia's Pizzeria,Indian,medium,Astoria,11:30,19:00,3,true
277,Sweet Treats Bakery,Mediterranean,cheap,Queens,9:30,17:00,1,false
278,Burger Haven,Chinese,cheap,Astoria,11:00,21:00,5,true
279,The Spice Route,Japanese,medium,Harlem,9:30,16:00,4,true
280,The Cheesecake Factory,Mexican,expensive,Williamsburg,11:00,21:00,3,true
281,The Coffee House,Italian,medium,Astoria,11:30,17:00,4,false
282,The Spice Route,Indian,cheap,Staten Island,11:30,19:00,1,true
283,Deli Delight,Indian,expensive,Brooklyn,10:00,18:00,5,true
284,Mama Mia's Pizzeria,Mexican,medium,Park Slope,10:00,16:00,4,false
285,Smokehouse BBQ,Mexican,cheap,Queens,11:30,19:00,5,true
286,Ocean Breeze Seafood,Japanese,medium,Williamsburg,11:00,20:00,3,false
287,The Hungry Owl,Chinese,cheap,Bronx,11:00,16:00,4,true
288,Sizzle Grill,Mediterranean,cheap,Brooklyn,12:00,17:00,5,false
289,The Spice Route,Mediterranean,cheap,Queens,11:30,19:00,1,true
290,Pasta Paradise,Mexican,medium,Queens,10:00,19:00,2,true
291,Green Leaf Salad Bar,Chinese,expensive,Harlem,11:30,17:00,4,true
292,The Coffee House,Italian,expensive,Park Slope,12:00,16:00,1,false
293,Sweet Treats Bakery,Korean,cheap,Brooklyn,12:00,20:00,5,false
294,Sweet Treats Bakery,Japanese,expensive,Manhattan,11:00,17:00,2,false
295,Sizzle Grill,Japanese,cheap,Harlem,9:00,21:00,1,true
296,The Hungry Owl,Mexican,cheap,Astoria,12:00,21:00,3,true
297,Sushi Samurai,Japanese,expensive,Queens,12:00,16:00,5,true
298,Green Leaf Salad Bar,Indian,medium,Manhattan,9:30,20:00,1,false
299,Burger Haven,Mediterranean,expensive,Brooklyn,10:30,20:00,5,false
300,The Breakfast Nook,Chinese,cheap,Harlem,11:30,21:00,3,false
301,Taco Town,Chinese,expensive,Manhattan,10:00,19:00,2,false
302,Smokehouse BBQ,Chinese,cheap,Bronx,9:30,20:00,2,true
303,Ocean Breeze Seafood,Mexican,medium,Manhattan,11:30,17:00,5,false
304,Ocean Breeze Seafood,Mediterranean,medium,Queens,11:30,19:00,1,false
305,The Cheesecake Factory,Mediterranean,medium,Astoria,9:30,19:00,4,true
306,Taco Town,Indian,expensive,Astoria,9:00,21:00,2,true
307,Ocean Breeze Seafood,Korean,cheap,Astoria,11:30,17:00,5,false
308,Smokehouse BBQ,Mediterranean,cheap,Queens,10:00,19:00,4,true
309,Smokehouse BBQ,Chinese,cheap,Staten Island,11:30,17:00,1,false
310,Sizzle Grill,Japanese,expensive,Astoria,9:30,17:00,1,true
311,Burger Haven,Mexican,cheap,Brooklyn,10:30,19:00,5,false
312,Taco Town,Chinese,cheap,Astoria,10:00,18:00,2,true
313,The Spice Route,Chinese,cheap,Staten Island,9:30,16:00,3,true
314,Deli Delight,Italian,cheap,Harlem,9:00,19:00,5,false
315,Burger Haven,Chinese,expensive,Staten Island,9:00,21:00,4,true
316,The Cheesecake Factory,Indian,cheap,Williamsburg,9:30,18:00,1,false
317,Deli Delight,Korean,expensive,Manhattan,11:30,18:00,2,false
318,Pasta Paradise,Mediterranean,cheap,Park Slope,9:00,16:00,3,false
319,Ocean Breeze Seafood,Indian,medium,Queens,11:00,18:00,3,false
320,Burger Haven,Korean,medium,Manhattan,10:00,19:00,4,true
321,Sushi Samurai,Mediterranean,expensive,Manhattan,12:00,21:00,1,true
322,Taco Town,Mexican,expensive,Staten Island,9:30,17:00,1,true
323,The Breakfast Nook,Indian,expensive,Queens,12:00,21:00,5,false
324,Ocean Breeze Seafood,Italian,expensive,Queens,11:00,21:00,5,false
325,The Cheesecake Factory,Italian,medium,Brooklyn,9:30,16:00,5,true
326,Taco Town,Japanese,cheap,Manhattan,9:30,17:00,3,true
327,Cafe Luna,Mexican,cheap,Astoria,9:00,16:00,4,true
328,Green Leaf Salad Bar,Japanese,cheap,Brooklyn,9:30,17:00,4,false
329,Mama Mia's Pizzeria,Japanese,cheap,Brooklyn,9:30,17:00,1,false
330,Mama Mia's Pizzeria,Korean,medium,Bronx,10:30,21:00,1,true
331,The Hungry Owl,Mexican,expensive,Bronx,11:30,19:00,4,true
332,Sweet Treats Bakery,Japanese,medium,Bronx,12:00,16:00,3,true
333,Mama Mia's Pizzeria,Japanese,medium,Manhattan,10:00,19:00,1,true
334,Taco Town,Mexican,cheap,Bronx,11:30,17:00,4,false
